team_name,leader_username
Finding X,@Gargdeep2
ENTROPY ,@shinuk10
QuesTree,@Aravind_Dwibhashyam
Money Monks,@AdarshKumar2008
Team CR7,@lofi_kid
The niggers,@Akshat007811
Mighty Raju,@muskbib
Entropy,@supernova6486
Dora The Explorer,@rathore2917
Hum char hamare char,@drstrange31415
Starbucks,@Mukbarat
MathonGo,@gandhikalp
The Quad-ratics,@adarshkumaar007
Xplorers,@Pavitr05
Team P.A.P.A,@Kanha696969
Gamgs of Dhanbad (GoD),@arnav25
Mafia Mundeer,@rit3shh
MathBusters,@Roop_Satya
Error_404,@Ffjshhshs
King,@Saizanmalik
The Pathfinders,@omrajawat709
PIRATES OF ISM,@theTphysicist
Bubbly Babale,@Pratyansh2007
Launcher,@nikhi
Task Force 141,@IshanTiwari83
Vast Deference,@NANANA
Hackhub,@Shrav1203
The Logic Legends,@piyush_baid
Trailblazers,@Pranavkalluri
The Tailblazers,@ChintuChauhan86
Synergix,@Shathyashri
Team Apex,@harsh_chat
πrates,@Priyangshu444
Hunter.X.Hunter,@ayy_arn
R-UMAD,@Imajay7
Campus ke Colombus ,@tg79901
Freaky Finders,@am9_179
Team SNS,@Karthick
BlazeEagle,@piyushmoni
The trio,@None_
Chatpate log,@hehehe_66666
Chatpati lesbians,@Temba_22
Money ballers,@krishshah3011
Chambal,@gonnadie12
Investigation ,@ChaithanyalakshmiK
Sans,@San_09
Aryabhatta,@Hehhnb
Legend Blasters,@Piyushsah1276
Screeching dilution,@32458
Rajasthani Rovers,@Rohitjangir80
The Pathfinders ,@omrajawat709
Crime masters ;-),@officialreetika
TheBoys,@MRcosmo10
OG Hunters ,@ay9199
Mafiya munder,@alphacse123
Khule Kabuttar,@Khp247
Saumya Gupta,@saumya_gupta
Team Bankrupts,@abhinav394
Rational Tinkerers ,@Vedic
...,@preethi262
Pranav,@Pr_nag
Bhavesh,@Bhavesh1SM
Hruday,@hrudaych
Spp,@glidertiii1
